Time Block,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,MVARH,Max,Min,Avg
KSTPS7,472.00,472.00,472.00,437.00,402.00,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,362.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,397.86,362.86,397.86,362.86,327.86,292.06,327.06,327.06,327.06,329.15,294.15,397.86,397.86,397.86,397.86,397.86,362.86,397.86,397.86,362.86,397.86,381.86,362.86,397.86,362.86,397.86,397.86,327.86,362.86,397.86,397.86,397.86,397.86,362.86,362.86,291.86,328.61,363.61,328.61,363.61,398.60,433.20,468.20,436.20,401.20,436.20,436.20,401.20,401.20,401.20,401.20,401.20,401.20,401.20,401.20,401.20,401.20,401.20,401.20,9353.88,472.00,291.86,389.74
MOUDA,214.15,70.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.08,214.15,0.00,2.96
NSPCL,364.07,364.07,364.07,364.07,364.07,364.07,364.07,364.07,364.07,364.07,364.07,364.07,359.07,359.07,359.07,359.07,359.07,359.07,334.07,309.07,284.07,284.07,259.07,258.50,258.50,258.50,258.50,258.50,258.50,258.50,258.50,258.50,294.06,318.22,343.22,368.22,393.22,418.22,393.22,369.07,334.07,319.07,344.07,369.07,394.07,394.07,394.07,369.07,344.07,319.07,319.07,344.07,344.07,369.67,389.67,389.67,364.67,339.67,354.67,379.67,354.67,379.67,404.67,404.67,379.67,354.67,329.67,304.67,283.22,308.22,333.22,358.22,333.22,358.22,383.22,383.22,383.22,383.22,408.22,383.22,383.22,383.22,383.22,383.22,383.22,383.22,383.22,383.22,363.22,363.22,363.22,363.22,363.22,363.22,363.22,363.22,8393.92,418.22,258.50,349.75
RGPPL_EBID,499.73,499.94,496.65,493.78,497.73,501.30,505.80,492.76,500.14,498.05,494.12,494.77,490.25,489.40,493.32,493.24,486.74,483.55,481.80,488.96,488.97,492.84,483.43,494.53,494.30,492.42,486.05,493.92,494.48,497.70,506.22,496.58,507.78,503.94,494.68,493.66,493.20,499.67,502.63,502.02,497.62,499.55,496.23,501.99,489.65,498.96,483.66,482.90,486.61,482.74,492.99,484.69,482.19,480.29,480.06,480.71,480.73,480.78,493.67,484.71,495.61,489.96,491.90,481.18,484.01,490.92,501.33,489.20,482.87,497.71,490.15,518.60,506.38,522.71,515.13,520.15,516.59,530.14,512.81,509.38,511.17,510.40,505.17,493.28,498.20,503.42,499.89,490.60,502.58,498.19,503.82,505.95,498.25,495.18,493.54,493.36,11902.88,530.14,480.06,495.95
RGPPL-GAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.75,27.00,0.00,0.28
RGPPL-RLNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SASAN,2791.80,2791.80,2791.80,2791.80,2591.80,2528.55,2528.55,2328.55,2228.55,2028.55,1828.55,1643.74,1843.74,1943.74,1943.74,1943.74,1893.74,1693.74,1493.74,1293.74,1093.74,1029.46,1029.46,1029.46,979.46,1026.52,1026.52,1226.52,1126.52,1126.52,1276.52,1176.52,1336.72,1336.72,1136.72,1336.72,1176.52,1099.46,1069.46,1069.46,1069.46,1069.46,1269.47,1469.48,1669.48,1817.43,1617.43,1468.45,1708.45,1764.15,1524.15,1529.65,1440.15,1450.65,1611.51,1511.51,1511.51,1511.51,1511.51,1511.51,1361.51,1261.51,1261.51,1448.51,1448.51,1486.11,1487.07,1482.39,1480.26,1476.69,1473.79,1470.94,1631.73,1871.73,2111.73,2351.73,2428.18,2668.18,2908.18,3148.17,3219.64,3221.80,3222.03,3299.58,3213.67,3218.25,3213.41,3225.28,3230.48,3236.07,3246.67,3251.02,3225.05,3222.35,3213.21,3209.96,45899.20,3299.58,979.46,1912.47
SIPAT I,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1190.00,1250.00,1250.00,1250.00,1190.00,1190.00,1250.00,1250.00,1250.00,1190.00,1250.00,1250.00,1250.00,1250.00,1250.00,1190.00,1250.00,1250.00,1190.00,1250.00,1250.00,1190.00,1250.00,1190.00,1250.00,1250.00,1190.00,1130.00,1070.00,1031.25,1031.25,1031.25,971.25,1031.25,971.25,1014.36,1074.36,1134.36,1194.36,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,29286.24,1250.00,971.25,1220.26
SIPAT II,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,950.00,880.00,950.00,950.00,950.00,880.00,880.00,950.00,950.00,950.00,880.00,950.00,950.00,950.00,950.00,950.00,880.00,950.00,950.00,880.00,950.00,950.00,880.00,950.00,880.00,810.00,767.93,697.93,697.93,767.93,767.93,767.93,767.93,697.93,767.93,697.93,767.93,837.93,840.04,799.90,799.90,869.90,939.90,949.90,949.90,949.90,939.90,869.90,879.90,879.90,879.90,949.88,950.00,950.00,950.00,950.00,950.00,950.00,950.00,21825.97,950.00,697.93,909.42
SSP,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,894.19,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,916.09,21745.26,916.09,894.19,906.05
TAPS-I,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,153.00,3672.00,153.00,153.00,153.00
TAPS-II,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,981.00,23544.00,981.00,981.00,981.00
VSTPS I,933.18,843.18,753.18,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,612.92,538.92,563.92,729.92,639.92,549.92,522.92,522.92,522.92,522.92,522.92,522.92,522.92,522.92,522.92,522.92,522.92,522.92,522.92,522.92,432.92,342.92,432.92,522.92,522.92,522.92,522.92,522.92,522.92,432.92,342.92,309.22,309.22,311.89,401.89,491.89,525.71,615.71,705.71,795.71,732.71,732.71,732.71,732.71,732.71,732.71,732.71,732.71,732.71,729.92,729.92,729.92,729.92,729.92,729.92,729.92,729.92,15446.47,933.18,309.22,643.60
VSTPS II,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,284.72,281.00,281.00,281.00,281.00,281.00,284.72,319.72,319.72,319.72,319.72,319.72,319.72,284.72,281.00,281.00,281.00,281.00,284.72,319.72,284.72,281.72,281.72,281.72,281.72,284.72,319.72,284.72,249.72,214.72,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,206.91,171.91,136.91,101.91,136.90,171.91,206.91,208.01,208.01,208.01,243.01,278.01,313.01,320.82,320.82,320.82,320.82,320.82,320.82,320.82,319.72,319.72,319.72,319.72,319.72,319.72,319.72,319.72,6489.80,320.82,101.91,270.41
VSTPS III,658.32,728.32,770.55,770.55,700.55,666.33,666.33,666.33,616.33,616.33,616.33,616.33,616.33,616.33,616.33,616.33,616.33,616.33,562.00,562.00,565.33,567.33,572.00,636.60,706.60,646.60,616.33,616.33,616.33,616.33,616.33,562.00,562.00,562.00,562.00,562.00,562.00,616.33,566.33,566.33,566.33,566.33,566.33,566.33,616.33,616.33,616.33,566.33,496.33,476.33,462.57,462.57,462.57,532.57,562.57,562.57,562.57,562.57,562.57,562.57,562.57,562.57,562.57,562.57,492.57,462.30,462.30,462.30,392.30,322.30,252.30,182.30,252.30,322.30,364.53,364.53,434.53,504.52,574.53,644.53,714.53,722.78,722.78,722.78,722.78,722.78,722.78,722.78,720.55,720.55,720.55,720.55,720.55,790.55,854.73,854.73,14094.54,854.73,182.30,587.27
VSTPS IV,679.51,679.51,679.51,679.51,679.51,679.51,679.51,679.51,679.51,679.51,679.51,679.51,619.78,619.78,619.78,619.78,619.78,619.78,562.00,562.00,619.78,619.78,562.00,562.00,632.00,619.78,619.78,619.78,619.78,619.78,619.78,562.78,562.00,562.00,562.00,562.00,562.00,619.78,565.78,565.78,598.78,596.78,565.78,565.78,619.78,619.78,619.78,566.78,566.78,619.78,679.51,642.51,626.51,626.51,679.51,679.51,609.51,566.51,566.51,609.51,606.51,609.51,679.51,679.51,619.78,619.78,619.78,619.78,619.78,619.78,619.78,619.78,562.00,562.00,622.91,622.91,622.91,622.91,622.91,622.91,622.91,622.91,622.91,622.91,622.91,622.91,622.91,622.91,619.78,619.78,619.78,619.78,619.78,619.78,619.78,619.78,14849.33,679.51,562.00,618.72
VSTPS V,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

